,x,y,z,Vx,Vy,Vz
0,301.09983,-1256.55978,46.02075,0.001,-0.001,-3.766
1,302.28709999999995,-1257.6256799999999,45.984750000000005,-0.0,0.0,-4.14
2,302.36262,-1255.59429,45.975,4.701,3.568,-5.2
3,303.21986,-1256.26867,45.975,5.6,4.314,-5.808
4,303.47438,-1258.6915800000002,46.1,0.0,-0.0,-5.864
5,303.63801,-1254.64547,45.9,11.37,8.333,-7.808
6,303.85755,-1255.7942600000001,45.9635,9.019,6.874,-7.442
7,304.07709,-1256.94306,46.00025,6.639,5.114,-6.934
8,304.66166,-1259.75748,46.1625,-0.0,0.0,-8.2
9,304.75253999999995,-1255.4529499999999,45.92124999999999,13.354,10.276,-9.081
10,304.92724,-1253.71563,45.744249999999994,20.385,14.671,-8.963
11,304.99808,-1258.6836799999999,46.1,5.667,3.505,-7.969
12,305.33451,-1257.60987,46.0175,9.684,6.976,-9.189
13,305.84893,-1260.8233899999998,46.150000000000006,-0.0,0.0,-8.884
14,305.86708000000004,-1256.26044,45.925,15.735,11.787,-10.424
15,306.0408,-1254.52175,45.799,22.828,17.012,-10.746
16,306.11392,-1259.81992,46.125,7.061,2.817,-9.893
17,306.21452,-1252.78305,45.57625,30.145,21.89,-9.373
18,306.37890999999996,-1258.81645,46.091,11.203,6.078,-10.719
19,306.65926,-1257.92161,46.025,15.009,9.334,-11.883
20,306.73686,-1256.61041,45.925,19.122,13.399,-12.037
21,307.03621000000004,-1261.88929,46.0265,0.0,-0.0,-8.524
22,307.16238,-1255.4392,45.833,25.513,18.425,-12.861
23,307.49477,-1251.84084,45.379000000000005,38.215,28.6,-8.054
24,307.50138,-1260.53679,46.009249999999994,11.307,3.63,-10.298
25,307.56041,-1253.884,45.654,32.879,24.077,-11.297
26,307.96655,-1259.1842900000001,46.025499999999994,18.161,8.163,-13.741
27,308.09615,-1257.8754099999999,45.955,23.222,12.975,-14.791
28,308.22348999999997,-1262.95519,45.82275,0.0,-0.0,-7.272
29,308.27809,-1256.26501,45.824000000000005,29.2,19.205,-14.207
30,308.40843,-1253.28807,45.47425,38.194,27.738,-9.338
31,308.6896,-1253.99835,45.529,37.812,26.995,-10.123
32,308.76923,-1250.8908000000001,45.14275,43.758,31.922,-5.312
33,308.86292,-1261.51544,45.7765,12.008,2.955,-8.544
34,308.90631,-1254.98494,45.5895,36.466,25.202,-11.595
35,309.12122,-1257.1678,45.813500000000005,31.248,18.338,-15.197
36,309.14396999999997,-1252.40802,45.22775,42.858,30.765,-6.05
37,309.41076,-1264.0210900000002,45.624750000000006,0.0,-0.0,-5.311
38,309.50235,-1260.07569,45.8235,22.391,8.428,-13.155
39,309.53042,-1258.35114,45.867250000000006,29.77,14.939,-16.708
40,309.73212,-1253.7180600000002,45.3215,42.904,29.99,-7.612
41,310.05571000000003,-1249.9570700000002,44.90774999999999,45.666,33.604,-4.596
42,310.05925,-1262.25286,45.57675,11.952,3.496,-6.643
43,310.18527,-1259.2766100000001,45.7585,28.953,13.616,-15.012
44,310.20604,-1256.4663899999998,45.59025,38.942,24.697,-12.596
45,310.42444,-1251.46614,44.8735,46.608,32.906,-3.751
46,310.59803999999997,-1265.08699,45.627,0.0,-0.0,-6.133
47,310.78598,-1254.56772,45.25325,45.617,31.461,-6.699
48,310.79318,-1252.97521,44.9855,46.889,32.504,-4.054
49,310.80439,-1261.1481299999998,45.578500000000005,21.708,9.072,-9.817
50,310.92228,-1264.2028799999998,45.580999999999996,4.725,2.539,-6.358
51,310.97592,-1258.13706,45.625,37.245,21.126,-13.751
52,311.11328000000003,-1259.8824399999999,45.574999999999996,30.141,14.878,-12.893
53,311.24653,-1263.31876,45.542,10.085,4.903,-7.147
54,311.32842999999997,-1249.00478,44.68225,45.824,34.759,-4.311
55,311.41929,-1252.07839,44.73475,47.871,33.431,-2.667
56,311.47738,-1257.06358,45.390750000000004,42.121,27.253,-9.319
57,311.53065000000004,-1255.9933500000002,45.26475,45.33,31.07,-6.713
58,311.59127,-1264.7545,45.605000000000004,4.964,3.439,-7.493
59,311.78531,-1266.1528999999998,45.71,0.242,-0.217,-8.832
60,311.88589,-1250.21563,44.549749999999996,47.159,34.217,-3.079
61,311.89501,-1261.55052,45.486,23.29,12.588,-10.286
62,311.99027,-1259.07792,45.469500000000004,36.734,22.086,-11.732
63,312.17598,-1253.12339,44.683,48.794,34.142,-2.647
64,312.20703000000003,-1254.90449,44.94325,48.233,34.33,-4.01
65,312.43715000000003,-1260.65981,45.45,30.38,18.418,-11.851
66,312.44334999999995,-1251.42648,44.45525,48.114,34.051,-1.584
67,312.45721000000003,-1258.1638799999998,45.23475,41.454,27.79,-7.913
68,312.5845,-1264.42201,45.6,10.293,9.35,-9.934
69,312.59148,-1248.03965,44.37475,45.844,35.234,-2.595
70,312.59783000000004,-1257.05549,45.097500000000004,45.47,32.572,-4.384
71,312.60381,-1262.90505,45.525,18.069,12.803,-10.605
72,312.97259,-1267.2188,45.822250000000004,-0.101,0.091,-14.554
73,313.05690999999996,-1249.17028,44.35,47.056,34.581,-2.217
74,313.0582,-1261.91923,45.47425,25.427,17.818,-12.044
75,313.273,-1258.64975,45.21825,41.974,29.886,-7.199
76,313.41406,-1265.65644,45.688,8.962,10.096,-11.468
77,313.42739,-1259.99774,45.33375,36.225,25.474,-10.705
78,313.45183000000003,-1253.95034,44.458,49.495,36.369,-2.015
79,313.52234000000004,-1250.30092,44.27525,48.279,34.269,-0.539
80,313.57784000000004,-1255.72522,44.697,49.105,37.681,-2.528
81,313.73694,-1252.2364,44.23975,49.186,35.15,-0.163
82,313.84947999999997,-1247.0678899999998,44.201,46.713,36.248,-2.648
83,313.85552,-1264.09409,45.525,17.671,17.28,-11.457
84,313.89974,-1262.82799,45.47525,23.925,20.007,-11.903
85,313.97787,-1261.0809,45.390750000000004,33.034,24.683,-11.668
86,314.10276,-1256.9941999999999,44.882,47.887,37.444,-3.428
87,314.15987,-1268.2847,46.06,0.0,-0.0,-20.109
88,314.19448,-1248.95716,44.24275,48.448,34.3,-1.748
89,314.493,-1253.67328,44.2725,50.099,37.748,-0.768
90,314.53932000000003,-1256.1208100000001,44.718999999999994,49.529,39.47,-3.274
91,314.53947999999997,-1250.8464299999998,44.175,49.718,34.829,0.099
92,314.54048,-1265.09441,45.55075,16.901,18.666,-11.452
93,314.55475,-1259.20461,45.2245,42.359,32.009,-8.907
94,314.61265000000003,-1247.37963,44.2,48.739,35.538,-3.751
95,314.76782000000003,-1254.8961299999999,44.515249999999995,50.105,39.678,-2.936
96,314.80834999999996,-1266.51646,45.788999999999994,12.11,15.506,-16.294
97,314.90934000000004,-1252.07687,44.175,50.499,36.421,0.419
98,315.10821000000004,-1246.0971000000002,44.2,49.788,37.856,-7.719
99,315.17375,-1248.83904,44.2,50.542,34.373,-3.599
100,315.21335,-1262.24449,45.321,31.928,26.951,-9.257
101,315.22965000000005,-1258.23867,45.093250000000005,46.377,36.802,-6.98
102,315.24202,-1246.89424,44.224999999999994,50.445,36.174,-6.822
103,315.34714,-1269.3506,46.175,0.0,-0.0,-22.647
104,315.36339000000004,-1249.93946,44.1495,51.042,34.744,-1.732
105,315.37582000000003,-1247.69137,44.2,50.88,35.059,-5.857
106,315.42422999999997,-1252.9070800000002,44.1825,51.331,38.172,-0.091
107,315.46164,-1265.6313,45.592749999999995,18.971,22.235,-11.765
108,315.47787,-1253.86728,44.307,51.248,39.581,-1.439
109,315.55637,-1261.17493,45.2365,37.364,30.207,-8.31
110,315.56654,-1260.14585,45.20975000000001,41.189,32.522,-8.534
111,315.58320000000003,-1264.0401000000002,45.390750000000004,25.727,25.709,-8.859
112,315.62738,-1257.29246,44.97475,48.984,39.885,-5.781
113,315.67542,-1256.16705,44.79025,50.264,41.28,-4.981
114,315.70893,-1268.3228100000001,46.036500000000004,9.452,11.398,-20.97
115,315.87579,-1251.58526,44.125,52.186,36.921,-0.342
116,316.07072,-1267.29501,45.849250000000005,15.62,19.196,-15.951
117,316.18206,-1258.94108,45.057249999999996,46.03,36.891,-6.531
118,316.38847,-1261.0737,45.0735,40.028,32.745,-5.217
119,316.39119,-1245.15859,44.2,56.753,40.852,-12.836
120,316.45569,-1262.30877,45.1,35.842,30.948,-4.709
121,316.46878999999996,-1252.59553,44.147000000000006,53.187,39.341,-0.35
122,316.48419,-1254.4453600000002,44.3865,52.317,41.748,-2.508
123,316.50147,-1263.56302,45.22125,31.201,29.415,-5.557
124,316.50160999999997,-1257.7405,44.931,49.124,40.172,-5.465
125,316.53442,-1270.4165,46.15924999999999,0.0,-0.0,-22.322
126,316.62892,-1249.52066,44.1,54.936,35.282,-4.514
127,316.64412,-1265.81413,45.48025,23.771,26.181,-8.684
128,316.64668,-1246.7367199999999,44.2,55.844,36.623,-10.738
129,316.72365,-1255.51673,44.566250000000004,51.781,42.383,-3.301
130,316.86187,-1250.55896,44.05,55.125,36.484,-2.196
131,316.90216999999996,-1248.3148500000002,44.171499999999995,56.256,35.186,-8.186
132,316.91454,-1264.62643,45.27525,28.799,29.152,-5.908
133,317.00927,-1253.40486,44.165499999999994,53.907,41.083,-0.473
134,317.05253999999996,-1260.14371,44.91524999999999,44.277,35.848,-3.671
135,317.10371000000004,-1268.66591,45.90175,15.872,16.321,-17.128
136,317.38068,-1259.1615900000002,44.8075,47.459,38.345,-3.127
137,317.42193,-1256.6739,44.626,51.632,42.628,-2.89
138,317.43446,-1266.61435,45.517250000000004,23.914,25.519,-9.351
139,317.44568,-1270.12225,46.043,8.751,7.498,-21.161
140,317.57195,-1261.48775,44.902499999999996,41.553,34.518,-2.203
141,317.68582000000004,-1244.23628,44.0145,63.723,44.564,-11.407
142,317.69188,-1257.55933,44.678,50.911,41.883,-2.347
143,317.7217,-1271.4824099999998,46.025499999999994,1.177,-1.057,-18.601
144,317.72493,-1262.86707,44.982,37.281,33.118,-2.579
145,317.73239,-1249.39486,44.036750000000005,58.986,36.554,-6.135
146,317.75054,-1252.6880800000001,43.99575,55.91,40.887,0.337
147,317.86766,-1255.29497,44.2475,53.086,42.999,-0.726
148,317.88659,-1267.5529,45.598,22.633,23.163,-10.533
149,317.89236999999997,-1260.27406,44.775,45.566,36.969,-1.838
150,318.02207,-1254.02949,44.025749999999995,54.705,42.376,0.539
151,318.08311,-1251.46054,43.964,57.979,39.399,-0.931
152,318.18682,-1245.91448,43.973,63.547,40.145,-9.687
153,318.28,-1266.26856,45.374,27.735,28.267,-6.687
154,318.28445,-1247.45966,44.00675,62.719,37.779,-9.36
155,318.35406,-1264.73767,45.14375,32.443,31.712,-4.536
156,318.35693,-1269.82799,45.8635,15.32,12.483,-15.265
